        mark         | zone | number | state | level | source  |    info    
 2004-07-23 03:29:29 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:29:37 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:29:38 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:07 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:09 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:10 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:11 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:15 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:16 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:18 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:18 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:20 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:20 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:24 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:25 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:26 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:27 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:37 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:38 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:40 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:41 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:43 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:43 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:43 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:45 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:46 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:47 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:47 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:48 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:49 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:49 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:54 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:54 | V    |     21 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:56 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:56 | V    |     22 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:57 | V    |     22 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:58 | V    |     23 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:58 | V    |     22 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:30:58 | V    |     22 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:30:59 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:00 | V    |     23 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:01 | V    |     21 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:01 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:02 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:07 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:09 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:10 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:11 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:13 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:15 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:15 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:16 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:17 | V    |     17 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:18 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:19 | V    |     11 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:19 | V    |     17 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:20 | V    |      6 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:22 | V    |      6 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:23 | V    |     17 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:25 | V    |     11 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:25 | V    |     18 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:25 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:26 | V    |     17 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:26 | V    |     18 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:28 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:29 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:31 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:31 | V    |     17 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:31 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:31 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:33 | V    |     11 |     1 |   100 | ArgusD  | inhabitant
